date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-10-13,9.61,4.89,450,"1993-10-06 2022-10-20",89.63,7.63,450,"1993-10-06 2022-10-20",16.05,4.72,450,"1993-10-06 2022-10-20",27.08,10.73,450,"1993-10-06 2022-10-20",3.31,5.01,450,"1993-10-06 2022-10-20",55.02,13.67,450,"1993-10-06 2022-10-20",6.39,4.41,450,"1993-10-06 2022-10-20",4.31,4.44,450,"1993-10-06 2022-10-20",1.98,4.88,443,"1993-10-06 2022-10-20",1.98,4.88,443,"1993-10-06 2022-10-20",0,0,443,"1993-10-06 2022-10-20",0,0,296,"1993-10-06 2018-10-18",,,,
2023-10-12,9.67,4.95,450,"1993-10-05 2022-10-19",89.7,7.54,450,"1993-10-05 2022-10-19",16.17,4.72,450,"1993-10-05 2022-10-19",26.73,10.77,450,"1993-10-05 2022-10-19",3.44,5.07,450,"1993-10-05 2022-10-19",54.8,13.72,450,"1993-10-05 2022-10-19",6.46,4.47,450,"1993-10-05 2022-10-19",4.33,4.43,450,"1993-10-05 2022-10-19",2.09,5.88,443,"1993-10-05 2022-10-19",2.09,5.88,443,"1993-10-05 2022-10-19",0,0,443,"1993-10-05 2022-10-19",0,0,296,"1993-10-05 2018-10-18",,,,
2023-10-11,9.92,5.05,450,"1993-10-04 2022-10-18",90,7.34,450,"1993-10-04 2022-10-18",16.35,4.75,450,"1993-10-04 2022-10-18",26.66,10.86,450,"1993-10-04 2022-10-18",3.67,5.14,450,"1993-10-04 2022-10-18",54.97,13.92,450,"1993-10-04 2022-10-18",6.66,4.51,450,"1993-10-04 2022-10-18",4.34,4.33,450,"1993-10-04 2022-10-18",2.03,5.65,444,"1993-10-04 2022-10-18",2.03,5.65,444,"1993-10-04 2022-10-18",0,0,445,"1993-10-04 2022-10-18",0,0,297,"1993-10-04 2018-10-18",,,,
2023-10-10,10.16,5,450,"1993-10-03 2022-10-17",90.03,7.34,450,"1993-10-03 2022-10-17",16.56,4.74,450,"1993-10-03 2022-10-17",26.6,10.86,450,"1993-10-03 2022-10-17",3.88,5.21,450,"1993-10-03 2022-10-17",54.91,14.15,450,"1993-10-03 2022-10-17",6.89,4.51,450,"1993-10-03 2022-10-17",4.25,4.34,450,"1993-10-03 2022-10-17",2.07,5.62,444,"1993-10-03 2022-10-17",2.07,5.62,444,"1993-10-03 2022-10-17",0,0,445,"1993-10-03 2022-10-17",0,0,296,"1993-10-03 2012-10-17",,,,
2023-10-09,10.42,4.95,450,"1993-10-02 2022-10-16",89.98,7.35,450,"1993-10-02 2022-10-16",16.86,4.74,450,"1993-10-02 2022-10-16",26.38,10.55,450,"1993-10-02 2022-10-16",4.06,5.15,450,"1993-10-02 2022-10-16",54.85,14.01,450,"1993-10-02 2022-10-16",7.07,4.49,450,"1993-10-02 2022-10-16",4.2,4.34,450,"1993-10-02 2022-10-16",2.08,5.42,445,"1993-10-02 2022-10-16",2.08,5.42,445,"1993-10-02 2022-10-16",0,0,446,"1993-10-02 2022-10-16",0,0,297,"1993-10-02 2012-10-16",,,,
2023-10-08,10.62,4.9,450,"1993-10-01 2022-10-15",90.05,7.33,450,"1993-10-01 2022-10-15",17.16,4.81,450,"1993-10-01 2022-10-15",26.28,10.39,450,"1993-10-01 2022-10-15",4.27,5.14,450,"1993-10-01 2022-10-15",54.58,13.98,450,"1993-10-01 2022-10-15",7.27,4.49,450,"1993-10-01 2022-10-15",4.13,4.35,450,"1993-10-01 2022-10-15",1.98,5.34,444,"1993-10-02 2022-10-15",1.98,5.34,444,"1993-10-02 2022-10-15",0,0,445,"1993-10-02 2022-10-15",0,0,296,"1993-10-02 2012-10-15",,,,
2023-10-07,10.72,4.8,450,"1993-09-30 2022-10-14",90.1,7.31,450,"1993-09-30 2022-10-14",17.37,4.76,450,"1993-09-30 2022-10-14",26,9.77,450,"1993-09-30 2022-10-14",4.48,5.12,450,"1993-09-30 2022-10-14",54.41,13.99,450,"1993-09-30 2022-10-14",7.5,4.47,450,"1993-09-30 2022-10-14",4.06,4.32,450,"1993-09-30 2022-10-14",2,5.38,444,"1993-10-02 2022-10-14",2,5.38,444,"1993-10-02 2022-10-14",0,0,445,"1993-10-02 2022-10-14",0,0,296,"1993-10-02 2012-10-14",,,,
2023-10-06,10.83,4.73,450,"1993-09-29 2022-10-13",90.21,7.12,450,"1993-09-29 2022-10-13",17.55,4.69,450,"1993-09-29 2022-10-13",26.15,9.99,450,"1993-09-29 2022-10-13",4.62,5.03,450,"1993-09-29 2022-10-13",54.32,13.89,450,"1993-09-29 2022-10-13",7.64,4.42,450,"1993-09-29 2022-10-13",4.08,4.43,450,"1993-09-29 2022-10-13",2.05,5.73,444,"1993-09-29 2022-10-13",2.05,5.73,444,"1993-09-29 2022-10-13",0,0,445,"1993-09-29 2022-10-13",0,0,296,"1993-09-29 2012-10-13",,,,
2023-10-05,10.97,4.7,450,"1993-09-28 2022-10-12",90.17,7.07,450,"1993-09-28 2022-10-12",17.7,4.65,450,"1993-09-28 2022-10-12",26.14,9.86,450,"1993-09-28 2022-10-12",4.86,4.98,450,"1993-09-28 2022-10-12",54.37,13.76,450,"1993-09-28 2022-10-12",7.87,4.36,450,"1993-09-28 2022-10-12",4.11,4.46,450,"1993-09-28 2022-10-12",2.07,5.65,445,"1993-09-28 2022-10-12",2.07,5.65,445,"1993-09-28 2022-10-12",0,0,446,"1993-09-28 2022-10-12",0,0,296,"1993-09-28 2012-10-12",,,,
2023-10-04,11.23,4.68,450,"1993-09-27 2022-10-11",90.26,7.05,450,"1993-09-27 2022-10-11",18.01,4.66,450,"1993-09-27 2022-10-11",26.16,9.83,450,"1993-09-27 2022-10-11",5.23,4.96,450,"1993-09-27 2022-10-11",54.61,13.72,450,"1993-09-27 2022-10-11",8.17,4.33,450,"1993-09-27 2022-10-11",4.07,4.44,450,"1993-09-27 2022-10-11",2.16,5.8,445,"1993-09-27 2022-10-11",2.16,5.8,445,"1993-09-27 2022-10-11",0,0,446,"1993-09-27 2022-10-11",0,0,296,"1993-09-27 2012-10-11",,,,
2023-10-03,11.54,4.65,450,"1993-09-26 2022-10-10",90.46,6.93,450,"1993-09-26 2022-10-10",18.27,4.69,450,"1993-09-26 2022-10-10",26.18,9.82,450,"1993-09-26 2022-10-10",5.5,4.91,450,"1993-09-26 2022-10-10",54.81,13.49,450,"1993-09-26 2022-10-10",8.4,4.32,450,"1993-09-26 2022-10-10",4,4.41,450,"1993-09-26 2022-10-10",2.25,5.89,445,"1993-09-27 2022-10-10",2.25,5.89,445,"1993-09-27 2022-10-10",0,0,446,"1993-09-27 2022-10-10",0,0,296,"1993-09-27 2012-10-10",,,,
2023-10-02,11.77,4.61,450,"1993-09-25 2022-10-09",90.4,6.97,450,"1993-09-25 2022-10-09",18.5,4.73,450,"1993-09-25 2022-10-09",26.23,9.84,450,"1993-09-25 2022-10-09",5.73,4.85,450,"1993-09-25 2022-10-09",54.98,13.54,450,"1993-09-25 2022-10-09",8.65,4.3,450,"1993-09-25 2022-10-09",3.95,4.45,450,"1993-09-25 2022-10-09",2.37,5.99,445,"1993-09-27 2022-10-09",2.37,5.99,445,"1993-09-27 2022-10-09",0,0,446,"1993-09-27 2022-10-09",0,0,296,"1993-09-27 2012-10-09",,,,
2023-10-01,11.87,4.57,450,"1993-09-24 2022-10-08",90.32,6.95,450,"1993-09-24 2022-10-08",18.69,4.75,450,"1993-09-24 2022-10-08",26.11,9.84,450,"1993-09-24 2022-10-08",5.86,4.8,450,"1993-09-24 2022-10-08",54.75,13.54,450,"1993-09-24 2022-10-08",8.79,4.26,450,"1993-09-24 2022-10-08",3.88,4.38,450,"1993-09-24 2022-10-08",2.28,5.87,445,"1993-09-24 2022-10-08",2.28,5.87,445,"1993-09-24 2022-10-08",0,0,446,"1993-09-24 2022-10-08",0,0,296,"1993-09-24 2012-10-08",,,,
2023-09-30,12,4.56,450,"1993-09-23 2022-10-07",90.14,7.05,450,"1993-09-23 2022-10-07",18.91,4.7,450,"1993-09-23 2022-10-07",26.09,9.85,450,"1993-09-23 2022-10-07",6,4.74,450,"1993-09-23 2022-10-07",54.44,13.68,450,"1993-09-23 2022-10-07",8.94,4.22,450,"1993-09-23 2022-10-07",3.94,4.38,450,"1993-09-23 2022-10-07",2.32,5.97,444,"1993-09-24 2022-10-07",2.32,5.97,444,"1993-09-24 2022-10-07",0,0,445,"1993-09-24 2022-10-07",0,0,295,"1993-09-24 2012-10-07",,,,
2023-09-29,12.15,4.54,450,"1993-09-22 2022-10-06",90.2,7.03,450,"1993-09-22 2022-10-06",19.1,4.69,450,"1993-09-22 2022-10-06",26.05,9.48,450,"1993-09-22 2022-10-06",6.12,4.67,450,"1993-09-22 2022-10-06",54.29,13.65,450,"1993-09-22 2022-10-06",9.12,4.19,450,"1993-09-22 2022-10-06",3.87,4.37,450,"1993-09-22 2022-10-06",2.5,6.57,443,"1993-09-24 2022-10-06",2.5,6.57,443,"1993-09-24 2022-10-06",0,0,444,"1993-09-24 2022-10-06",0,0,294,"1993-09-24 2012-10-06",,,,
2023-09-28,12.38,4.59,450,"1993-09-21 2022-10-05",90.19,7,450,"1993-09-21 2022-10-05",19.43,4.78,450,"1993-09-21 2022-10-05",26.13,9.51,450,"1993-09-21 2022-10-05",6.35,4.64,450,"1993-09-21 2022-10-05",53.97,13.56,450,"1993-09-21 2022-10-05",9.33,4.18,450,"1993-09-21 2022-10-05",3.86,4.31,450,"1993-09-21 2022-10-05",2.56,6.69,442,"1993-09-24 2022-10-05",2.56,6.69,442,"1993-09-24 2022-10-05",0,0,443,"1993-09-24 2022-10-05",0,0,293,"1993-09-24 2012-10-05",,,,
2023-09-27,12.73,4.53,450,"1993-09-20 2022-10-04",89.98,7.06,450,"1993-09-20 2022-10-04",19.82,4.77,450,"1993-09-20 2022-10-04",26.24,9.52,450,"1993-09-20 2022-10-04",6.62,4.64,450,"1993-09-20 2022-10-04",53.91,13.41,450,"1993-09-20 2022-10-04",9.62,4.15,450,"1993-09-20 2022-10-04",3.76,4.28,450,"1993-09-20 2022-10-04",2.38,5.79,441,"1993-09-24 2022-10-04",2.38,5.79,441,"1993-09-24 2022-10-04",0,0,442,"1993-09-24 2022-10-04",0,0,292,"1993-09-24 2012-10-04",,,,
2023-09-26,12.86,4.5,450,"1993-09-19 2022-10-03",89.75,7.04,450,"1993-09-19 2022-10-03",20.12,4.68,450,"1993-09-19 2022-10-03",25.99,9.26,450,"1993-09-19 2022-10-03",6.81,4.64,450,"1993-09-19 2022-10-03",53.35,13.06,450,"1993-09-19 2022-10-03",9.84,4.13,450,"1993-09-19 2022-10-03",3.66,4.26,450,"1993-09-19 2022-10-03",2.42,5.99,442,"1993-09-19 2022-10-03",2.42,5.99,442,"1993-09-19 2022-10-03",0,0,442,"1993-09-19 2022-10-03",0,0,292,"1993-09-19 2012-10-03",,,,
2023-09-25,13.07,4.42,450,"1993-09-18 2022-10-02",89.71,6.95,450,"1993-09-18 2022-10-02",20.48,4.57,450,"1993-09-18 2022-10-02",25.87,9.12,450,"1993-09-18 2022-10-02",7.03,4.51,450,"1993-09-18 2022-10-02",52.9,12.74,450,"1993-09-18 2022-10-02",10.02,4.06,450,"1993-09-18 2022-10-02",3.71,4.26,450,"1993-09-18 2022-10-02",2.34,5.98,441,"1993-09-19 2022-10-02",2.34,5.98,441,"1993-09-19 2022-10-02",0,0,441,"1993-09-19 2022-10-02",0,0,291,"1993-09-19 2012-10-02",,,,
2023-09-24,13.25,4.37,450,"1993-09-17 2022-10-01",89.64,6.96,450,"1993-09-17 2022-10-01",20.77,4.44,450,"1993-09-17 2022-10-01",25.65,9.02,450,"1993-09-17 2022-10-01",7.3,4.43,450,"1993-09-17 2022-10-01",52.82,12.5,450,"1993-09-17 2022-10-01",10.25,4,450,"1993-09-17 2022-10-01",3.64,4.2,450,"1993-09-17 2022-10-01",2.23,5.95,440,"1993-09-19 2022-10-01",2.23,5.95,440,"1993-09-19 2022-10-01",0,0,440,"1993-09-19 2022-10-01",0,0,290,"1993-09-19 2012-10-01",,,,
2023-09-23,13.42,4.28,450,"1993-09-16 2022-09-30",89.63,6.91,450,"1993-09-16 2022-09-30",20.95,4.34,450,"1993-09-16 2022-09-30",25.41,8.96,450,"1993-09-16 2022-09-30",7.5,4.34,450,"1993-09-16 2022-09-30",52.77,12.42,450,"1993-09-16 2022-09-30",10.44,3.95,450,"1993-09-16 2022-09-30",3.55,4.13,450,"1993-09-16 2022-09-30",2.28,6.13,440,"1993-09-19 2022-09-30",2.28,6.13,440,"1993-09-19 2022-09-30",0,0,440,"1993-09-19 2022-09-30",0,0,290,"1993-09-19 2012-09-30",,,,
2023-09-22,13.64,4.28,450,"1993-09-15 2022-09-29",89.57,6.95,450,"1993-09-15 2022-09-29",21.18,4.29,450,"1993-09-15 2022-09-29",25.3,8.89,450,"1993-09-15 2022-09-29",7.74,4.35,450,"1993-09-15 2022-09-29",52.79,12.42,450,"1993-09-15 2022-09-29",10.62,3.97,450,"1993-09-15 2022-09-29",3.5,4.01,450,"1993-09-15 2022-09-29",2.2,6.09,441,"1993-09-15 2022-09-29",2.2,6.09,441,"1993-09-15 2022-09-29",0,0,441,"1993-09-15 2022-09-29",0,0,291,"1993-09-15 2012-09-29",,,,
2023-09-21,13.89,4.28,450,"1993-09-14 2022-09-28",89.62,7.02,450,"1993-09-14 2022-09-28",21.5,4.32,450,"1993-09-14 2022-09-28",25.27,8.67,450,"1993-09-14 2022-09-28",8.04,4.37,450,"1993-09-14 2022-09-28",52.72,12.42,450,"1993-09-14 2022-09-28",10.89,4.02,450,"1993-09-14 2022-09-28",3.53,3.95,450,"1993-09-14 2022-09-28",2.21,5.87,441,"1993-09-14 2022-09-28",2.21,5.87,441,"1993-09-14 2022-09-28",0,0,441,"1993-09-14 2022-09-28",0,0,291,"1993-09-14 2012-09-28",,,,
2023-09-20,14.08,4.25,450,"1993-09-13 2022-09-27",89.4,7.1,450,"1993-09-13 2022-09-27",21.77,4.34,450,"1993-09-13 2022-09-27",25.18,8.58,450,"1993-09-13 2022-09-27",8.24,4.34,450,"1993-09-13 2022-09-27",52.68,12.38,450,"1993-09-13 2022-09-27",11.11,4.05,450,"1993-09-13 2022-09-27",3.6,4.06,450,"1993-09-13 2022-09-27",2.22,5.91,440,"1993-09-13 2022-09-27",2.22,5.91,440,"1993-09-13 2022-09-27",0,0,440,"1993-09-13 2022-09-27",0,0,291,"1993-09-13 2012-09-27",,,,
2023-09-19,14.22,4.27,450,"1993-09-12 2022-09-26",89.22,7.17,450,"1993-09-12 2022-09-26",21.96,4.36,450,"1993-09-12 2022-09-26",25.21,8.51,450,"1993-09-12 2022-09-26",8.28,4.29,450,"1993-09-12 2022-09-26",52.31,12.09,450,"1993-09-12 2022-09-26",11.22,4.03,450,"1993-09-12 2022-09-26",3.59,4.03,450,"1993-09-12 2022-09-26",2.1,5.65,440,"1993-09-12 2022-09-26",2.1,5.65,440,"1993-09-12 2022-09-26",0,0,440,"1993-09-12 2022-09-26",0,0,291,"1993-09-12 2012-09-26",,,,
2023-09-18,14.28,4.28,450,"1993-09-11 2022-09-25",88.92,7.37,450,"1993-09-11 2022-09-25",22.14,4.33,450,"1993-09-11 2022-09-25",25.24,8.62,450,"1993-09-11 2022-09-25",8.34,4.36,450,"1993-09-11 2022-09-25",51.82,12.18,450,"1993-09-11 2022-09-25",11.39,4.03,450,"1993-09-11 2022-09-25",3.6,4.06,450,"1993-09-11 2022-09-25",2,5.47,441,"1993-09-11 2022-09-25",2,5.47,441,"1993-09-11 2022-09-25",0,0,441,"1993-09-11 2022-09-25",0,0,292,"1993-09-11 2012-09-25",,,,
2023-09-17,14.35,4.33,450,"1993-09-10 2022-09-24",88.93,7.43,450,"1993-09-10 2022-09-24",22.28,4.31,450,"1993-09-10 2022-09-24",25.25,8.56,450,"1993-09-10 2022-09-24",8.44,4.42,450,"1993-09-10 2022-09-24",51.57,12.32,450,"1993-09-10 2022-09-24",11.51,4.04,450,"1993-09-10 2022-09-24",3.58,4.02,450,"1993-09-10 2022-09-24",2.11,5.73,442,"1993-09-10 2022-09-24",2.11,5.73,442,"1993-09-10 2022-09-24",0,0,442,"1993-09-10 2022-09-24",0,0,293,"1993-09-10 2012-09-24",,,,
2023-09-16,14.49,4.28,450,"1993-09-09 2022-09-23",88.92,7.5,450,"1993-09-09 2022-09-23",22.39,4.27,450,"1993-09-09 2022-09-23",25.32,8.43,450,"1993-09-09 2022-09-23",8.62,4.37,450,"1993-09-09 2022-09-23",51.64,12.29,450,"1993-09-09 2022-09-23",11.73,4.03,450,"1993-09-09 2022-09-23",3.67,4.08,450,"1993-09-09 2022-09-23",2.15,5.79,442,"1993-09-09 2022-09-23",2.15,5.79,442,"1993-09-09 2022-09-23",0,0,442,"1993-09-09 2022-09-23",0,0,293,"1993-09-09 2012-09-23",,,,
2023-09-15,14.66,4.19,450,"1993-09-08 2022-09-22",89.08,7.4,450,"1993-09-08 2022-09-22",22.52,4.3,450,"1993-09-08 2022-09-22",25.37,8.43,450,"1993-09-08 2022-09-22",8.88,4.37,450,"1993-09-08 2022-09-22",51.75,12.08,450,"1993-09-08 2022-09-22",12.02,4.07,450,"1993-09-08 2022-09-22",3.72,4.11,450,"1993-09-08 2022-09-22",2.25,5.9,443,"1993-09-08 2022-09-22",2.25,5.9,443,"1993-09-08 2022-09-22",0,0,443,"1993-09-08 2022-09-22",0,0,294,"1993-09-08 2012-09-22",,,,
2023-09-14,14.88,4.14,450,"1993-09-07 2022-09-21",89.05,7.27,450,"1993-09-07 2022-09-21",22.82,4.28,450,"1993-09-07 2022-09-21",25.32,8.39,450,"1993-09-07 2022-09-21",9.15,4.31,450,"1993-09-07 2022-09-21",51.61,11.86,450,"1993-09-07 2022-09-21",12.28,4.04,450,"1993-09-07 2022-09-21",3.71,4.1,450,"1993-09-07 2022-09-21",2.33,6.33,444,"1993-09-07 2022-09-21",2.33,6.33,444,"1993-09-07 2022-09-21",0,0,444,"1993-09-07 2022-09-21",0,0,295,"1993-09-07 2012-09-21",,,,
2023-09-13,14.98,4.07,450,"1993-09-06 2022-09-20",89.04,7.2,450,"1993-09-06 2022-09-20",22.94,4.28,450,"1993-09-06 2022-09-20",25.04,8.1,450,"1993-09-06 2022-09-20",9.27,4.31,450,"1993-09-06 2022-09-20",51.55,11.86,450,"1993-09-06 2022-09-20",12.43,4.04,450,"1993-09-06 2022-09-20",3.63,4.09,450,"1993-09-06 2022-09-20",2.31,6.25,445,"1993-09-06 2022-09-20",2.31,6.25,445,"1993-09-06 2022-09-20",0,0,445,"1993-09-06 2022-09-20",0,0,296,"1993-09-06 2012-09-20",,,,
2023-09-12,15.03,4.08,450,"1993-09-05 2022-09-19",89.15,7.12,450,"1993-09-05 2022-09-19",23.08,4.29,450,"1993-09-05 2022-09-19",25.02,8.08,450,"1993-09-05 2022-09-19",9.38,4.32,450,"1993-09-05 2022-09-19",51.36,11.86,450,"1993-09-05 2022-09-19",12.59,4.04,450,"1993-09-05 2022-09-19",3.67,4.11,450,"1993-09-05 2022-09-19",2.31,6.31,446,"1993-09-05 2022-09-19",2.31,6.31,446,"1993-09-05 2022-09-19",0,0,446,"1993-09-05 2022-09-19",0,0,297,"1993-09-05 2012-09-19",,,,
2023-09-11,15.2,3.98,450,"1993-09-04 2022-09-18",89.1,7.11,450,"1993-09-04 2022-09-18",23.25,4.22,450,"1993-09-04 2022-09-18",25.27,8.22,450,"1993-09-04 2022-09-18",9.55,4.24,450,"1993-09-04 2022-09-18",51.34,12.01,450,"1993-09-04 2022-09-18",12.79,3.97,450,"1993-09-04 2022-09-18",3.76,4.24,450,"1993-09-04 2022-09-18",2.28,6.42,446,"1993-09-04 2022-09-18",2.28,6.42,446,"1993-09-04 2022-09-18",0,0,446,"1993-09-04 2022-09-18",0,0,297,"1993-09-04 2012-09-18",,,,
